,Year,2000,,,,2001,,,,2002,,,,2003,,,,2004,,,,2005,,,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,
,Gender,M,,F,,M,,F,,M,,F,,M,,F,,M,,F,,M,,F,,M,,F,,M,,F,,M,,F,,M,,F,,M,,F,,M,,F,,M,,F,,M,,F,,M,,F,
Community Area,Community Area Name,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate 
28,Near West Side,159,1202.3,174,1277.9,128,935.5,165,1173,138,976.1,151,1040.2,118,808.5,125,835.2,79,524.8,126,817.3,89,573.9,106,668,66,413.4,92,563.8,70,426.3,88,524.8,103,610.2,76,441.4,63,363.4,90,509.4,59,331.6,101,557.4,83,466.5,114,629.2,162,910.5,119,656.8,89,500.2,108,596.1,92,517.1,67,369.8
29,North Lawndale,243,3262.2,267,2622,249,3358.1,346,3453.4,224,3034.8,274,2780.6,179,2436.4,260,2683.2,147,2010.1,239,2509.2,156,2142.9,194,2072.4,151,2083.9,192,2087.9,127,1761,219,2424.7,158,2201.2,202,2278.1,113,1581.7,224,2573.8,107,1504.9,181,2119.9,159,2236.3,216,2529.9,185,2602,287,3361.4,129,1814.3,213,2494.7,93,1308,171,2002.8
30,South Lawndale,60,185.1,40,203.5,51,160.9,42,217.4,40,129.1,48,253,30,99.1,47,252.3,27,91.3,39,213.3,20,69.3,41,228.5,25,88.9,47,267,24,87.5,47,272.3,26,97.3,33,195,25,96.2,53,319.7,19,75.1,29,178.6,27,106.8,47,289.5,32,126.6,37,227.9,21,83,38,234.1,38,150.3,32,197.1
31,Lower West Side,14,109.5,14,135.6,17,135.7,18,177.1,20,163.1,12,120,26,216.6,20,203.4,11,93.7,16,165.5,16,139.4,12,126.3,14,124.8,8,85.7,7,63.9,10,109.1,11,102.9,11,122.2,14,134.2,13,147.1,11,108.2,7,80.7,8,78.7,8,92.3,18,177,17,196.1,18,177,5,57.7,32,314.7,15,173
32,Loop,16,312.4,5,111.4,22,392.4,9,178.6,20,328.4,7,125.2,13,197.7,6,97.7,11,155.8,10,149.3,23,304.8,11,151.8,20,249,10,128.2,15,176.1,8,95.8,13,144.4,9,101.1,6,63.2,11,116.3,12,120.3,9,89.9,20,200.5,13,129.9,17,170.5,15,149.9,29,290.8,7,69.9,34,340.9,<5,
33,Near South Side,42,1935.5,62,2469.1,36,1412.3,35,1210.2,35,1195.4,34,1038.8,29,876.9,34,930.5,22,596.9,33,817.8,19,467.3,32,724.6,14,315,30,625.4,13,269.5,16,309,16,307.5,33,593.6,11,197.1,19,319.9,7,117.4,6,94.9,19,318.7,19,300.6,13,218.1,12,189.8,19,318.7,12,189.8,14,234.9,6,94.9
34,Armour Square,10,408.2,14,552.1,20,806.5,15,587.8,20,796.8,12,467.3,16,629.7,6,232.2,12,466.7,11,423.1,5,192.2,,,7,266.1,,,5,187.9,,,,,7,262.8,,,9,335.8,7,254.4,6,222.6,6,218,6,222.6,11,399.7,8,296.7,12,436,9,333.8,7,254.4,<5,
35,Douglas,127,2194.6,159,2375.3,144,2549.6,150,2319.5,85,1542.9,89,1426.5,60,1117.1,85,1413.8,58,1108.6,80,1383.1,48,942.5,66,1187.7,43,868,49,919.3,44,913.8,53,1038.8,37,791.1,61,1251.3,22,484.8,40,860.8,12,272.8,47,1063.3,32,727.4,47,1063.3,39,886.6,57,1289.6,29,659.2,41,927.6,24,545.6,43,972.9
36,Oakland,50,4873.3,40,2507.8,47,4598.8,40,2501.6,25,2458.2,28,1747.8,16,1579.5,23,1432.1,14,1388.9,15,932.3,17,1693.2,16,991.9,16,1600,22,1360.5,22,2211.1,14,864.2,15,1513.6,33,2032,7,709.9,14,860.5,11,1120.2,21,1287.6,16,1629.3,27,1655.4,17,1731.2,21,1287.6,12,1222,21,1287.6,13,1323.8,23,1410.2
37,Fuller Park,15,2427.2,17,2414.8,18,2960.5,12,1739.1,33,5527.6,19,2810.7,15,2555.4,23,3474.3,15,2604.2,15,2314.8,8,1413.4,23,3622,10,1798.6,22,3542.7,12,2201.8,18,2965.4,15,2803.7,20,3372.7,7,1335.9,17,2936.1,,,15,2654.9,8,1556.4,6,1061.9,8,1556.4,15,2654.9,6,1167.3,12,2123.9,<5,,10,1769.9
38,Grand Boulevard,208,4608.9,210,3283.3,168,3766,212,3365.1,116,2631.6,154,2482.7,106,2433.4,149,2439.8,70,1626.8,104,1730.4,48,1129.1,60,1014.5,63,1500.7,79,1358.1,78,1881.3,81,1415.8,69,1685.8,105,1867,58,1435.3,99,1790.9,44,1103.3,59,1086.4,67,1680,79,1454.6,83,2081.2,124,2283.2,78,1955.9,82,1509.9,58,1454.4,61,1123.2
39,Kenwood,59,1567.9,48,1059.8,39,1049.8,60,1332.7,53,1445.7,49,1095,49,1354.3,48,1078.9,48,1344.9,49,1108.1,32,908.8,39,887.4,40,1152.1,28,641,39,1139,39,898.4,49,1451.9,46,1066,16,480.9,34,792.9,17,518.6,24,563.2,18,549.1,26,610.2,37,1128.7,43,1009.2,23,701.6,24,563.2,34,1037.2,28,657.1
40,Washington Park,114,4582,135,3852.7,105,4280.5,116,3342,107,4425.1,108,3142.3,60,2517.8,121,3554.6,53,2257.2,93,2759.6,48,2075.2,78,2337.4,64,2809.5,95,2876.2,45,2006.2,87,2660.6,44,1992.8,86,2657.6,46,2116.9,69,2154.2,40,1870.9,53,1672.5,44,2058,68,2145.8,54,2525.7,78,2461.3,52,2432.2,74,2335.1,31,1450,62,1956.5
41,Hyde Park,37,420.6,24,280.7,34,394,31,367.5,33,389.9,18,216.4,39,470.1,27,329.2,36,442.9,31,383.4,22,276.3,25,313.7,27,346.3,26,331.1,17,222.8,22,284.4,21,281.4,21,275.6,14,191.9,10,133.3,12,168.4,18,243.7,12,168.4,16,216.6,22,308.6,21,284.3,31,434.9,12,162.5,18,252.5,6,81.2
42,Woodlawn,154,3083.1,169,2677,132,2653.8,214,3406.6,163,3290.9,156,2495.2,144,2919.7,160,2571.9,76,1547.5,152,2455.6,87,1779.1,98,1590.9,93,1910.4,127,2072.1,93,1918.7,114,1869.5,88,1823.5,117,1928.5,46,957.3,132,2186.5,47,982.4,81,1348.7,87,1818.6,83,1382,76,1588.6,103,1715,68,1421.4,82,1365.3,44,919.7,66,1098.9
43,South Shore,268,2307,280,1823.7,269,2366.1,349,2325,216,1942.3,261,1779.4,253,2326.9,260,1814.9,189,1778.8,239,1709.2,154,1484.1,218,1598.1,200,1974.5,261,1962.7,168,1700.2,212,1636.3,187,1941.2,235,1863.2,113,1204,221,1801,84,919.3,175,1467.1,124,1357.1,205,1718.6,135,1477.5,200,1676.7,132,1444.7,182,1525.8,128,1400.9,154,1291.1
44,Chatham,156,2432.6,139,1680,133,2116.5,123,1525.3,114,1852.5,122,1553.5,128,2124.5,123,1609.3,102,1730.3,135,1816.5,105,1821,139,1924.7,104,1845,123,1754.1,105,1906.7,124,1823.3,103,1915.2,113,1714.5,61,1162.3,127,1990.6,48,937.7,105,1701.8,95,1855.8,117,1896.3,97,1894.9,118,1912.5,92,1797.2,78,1264.2,73,1426.1,87,1410
45,Avalon Park,47,2333.7,28,1212.6,44,2230.1,25,1100.8,33,1708.1,38,1701.7,29,1534.4,28,1275.6,29,1568.4,46,2132.6,22,1216.8,31,1462.3,22,1245,47,2257.4,31,1796.1,31,1516.6,35,2078.4,31,1545.4,25,1521.6,44,2235.8,10,624.2,18,932.6,33,2059.9,22,1139.9,33,2059.9,28,1450.8,28,1747.8,27,1399,21,1310.9,20,1036.3
46,South Chicago,128,1693.6,142,1579.9,116,1571,159,1812.8,110,1525.7,132,1543.1,114,1620,101,1211.5,104,1515.4,116,1428.6,99,1480,133,1682.9,94,1442.8,143,1860.5,83,1308.9,116,1553.1,61,989,125,1723.7,44,734.1,136,1933.2,42,721.6,95,1393.4,52,893.5,121,1774.7,63,1082.5,86,1261.4,61,1048.1,92,1349.4,43,738.8,78,1144
